Date,Headline,Sentence
"JULY 23, 2020",U.S. Congressional hearing to question tech giant CEOs to be delayed,"A U.S. congressional hearing scheduled for next week to question the CEOs of Facebook Inc, Amazon.com Inc, Google parent Alphabet Inc and Apple Inc is set to be delayed, according to sources familiar with the matter."
"JULY 23, 2020",UPDATE 1-U.S. Congressional hearing to question tech giant CEOs to be delayed,"A U.S. congressional hearing scheduled for next week to question the CEOs of Facebook Inc , Amazon.com Inc, Google parent Alphabet Inc and Apple Inc is set to be delayed, according to sources familiar with the matter."
"JULY 23, 2020",California appeals court rejects Apple TV consumer class action,A California appeals court has declined a bid by consumers who accused Apple Inc of misleading them by falsely touting the high-definition quality streaming capabilities of its Apple TVs to pursue their claims as a class.
"JULY 23, 2020",Apple faces deceptive trade practices probe by multiple U.S. states: document,"Multiple U.S. states are investigating Apple Inc for potentially deceiving consumers, according to a March document obtained by a tech watchdog group."
"JULY 23, 2020",Apple faces consumer protection probe by multiple U.S. states - Axios,"Multiple U.S. states are investigating Apple Inc for potentially deceiving consumers, online news site Axios reported on Thursday, citing a March document from a tech watchdog group."
"JULY 23, 2020","Apple supplier LG Display posts larger loss, but says the worst is over","Apple Inc <AAPL.O> supplier LG Display Co Ltd <034220.KS> said on Thursday it expects profitability to improve in the second half of this year as the new iPhone launch boosts demand for its smartphone panels, despite posting a larger operating loss."
"JULY 23, 2020",Apple supplier LG Display posts sixth straight quarterly loss,"Apple Inc supplier LG Display Co Ltd reported its sixth consecutive quarterly operating loss on Thursday, as people shied away from buying new TV sets in the middle of the pandemic and panel prices remained weak."
"JULY 22, 2020",Nvidia expresses interest in SoftBank's chip company Arm Holdings: Bloomberg News,"SoftBank Group Corp's chip company Arm Holdings Ltd has gathered takeover interest from Nvidia Corp, Bloomberg News reported https://bloom.bg/30R4Kh5 on Wednesday, citing people familiar with the matter."
"JULY 22, 2020",Apple offers modified phones to security researchers looking for iOS weaknesses,Apple on Wednesday invited security researchers to apply to receive modified iPhones designed to help them hunt for flaws in the company's mobile operating system.
"JULY 22, 2020","Italy opens antitrust probe into Amazon, Apple over sale of Beats headphones",Italy's antitrust authority said on Wednesday it had opened an investigation into whether Apple Inc <AAPL.O> and Amazon Inc had engaged in anti-competitive cooperation in the sale of Apple products and Beats headphones.
"JULY 21, 2020",Gilstrap denies Apple bid to delay jury trial due to COVID-19,"U.S. District Judge Rodney Gilstrap in Marshall, Texas has declined to postpone a jury trial in a patent case against Apple Inc amid the coronavirus pandemic."
"JULY 21, 2020","Apple to remove carbon from supply chain, products by 2030","Apple Inc <AAPL.O> said on Tuesday it plans to remove carbon emissions from its entire business, including its products and sprawling supply chain, over the next decade."
"JULY 15, 2020","Apple settles East Texas patent case, drops last-ditch transfer bid","Apple Inc has agreed to settle a lawsuit accusing it of infringing a mapping technology patent, abandoning a last-ditch bid to get the case moved out of the plaintiff-friendly Eastern District of Texas."
"JULY 15, 2020","Apple expands news offerings with audio, local newspaper stories","Apple Inc <AAPL.O> on Wednesday expanded its news offerings with audio versions of stories narrated by voice actors for subscribers, a morning newscast hosted by two journalists and more access to local newspaper stories."
"JULY 15, 2020",Blow for EU as Apple wins fight against $15 billion tax order,"Apple scored a major win on Wednesday as Europe's second-highest court rejected an EU order for the iPhone maker to pay 13 billion euros ($15 billion) in Irish back taxes, dealing a blow to the bloc's attempts to crack down on sweetheart tax deals."
"JULY 15, 2020",Breakingviews - Apple tax win flags EU problem of enemies within,"The victor of a battle can still end up losing the war. But Apple’s win in a legal case over $15 billion of back taxes that the European Commission ordered the tech giant to pay to Ireland flags the problems that Europe’s antitrust chief, Margrethe Vestager, faces in a bigger..."
"JULY 15, 2020",Ireland welcomes annulling of EU Apple tax order,Ireland welcomed the judgment by Europe's second-top court on Wednesday to reject a European Union order that iPhone maker Apple pay 13 billion euros ($14.78 billion) in Irish back taxes.
"JULY 15, 2020",Apple welcomes court ruling against EU tax order,Apple said on Wednesday that it was pleased that Europe's second-top court had rejected an EU order to the iPhone maker to pay 13 billion euros ($14.78 billion) in Irish back taxes.
"JULY 15, 2020",EU's Vestager vows to continue tax fight after Apple setback,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
"JULY 15, 2020",EU's Vestager vows to continue tax fight after Apple setback,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
"JULY 15, 2020",Ireland welcomes annulling of EU Apple tax order,Ireland welcomed the judgment by Europe's second-top court on Wednesday to reject a European Union order that iPhone maker Apple pay 13 billion euros ($14.78 billion) in Irish back taxes.
"JULY 13, 2020",Apple says full return to offices not until the end of the year: Bloomberg News,"Apple Inc <AAPL.O> has told its staff that a full return to U.S. offices will not occur before the end of the year, Bloomberg News reported on Monday, citing an internal video message."
"JULY 13, 2020",Apple to spend more than $400 million of $2.5 billion California housing fund this year,Apple Inc on Monday said it has allocated more than $400 million of $2.5 billion it pledged last year to stem California's housing crisis.
"JULY 10, 2020",LinkedIn sued over allegation it secretly reads Apple users' clipboard content,Microsoft Corp's <MSFT.O> LinkedIn was sued by a New York-based iPhone user on Friday for allegedly reading and diverting users' sensitive content from Apple Inc's <AAPL.O> Universal Clipboard application.
"JULY 10, 2020","Exclusive: Apple supplier Foxconn to invest $1 billion in India, sources say","Foxconn <2317.TW> plans to invest up to $1 billion to expand a factory in southern India where the Taiwanese contract manufacturer assembles Apple <AAPL.O> iPhones, two sources said."
"JULY 10, 2020","Fed adds Apple, Walt Disney and other bonds to credit portfolio","The U.S. Federal Reserve added $1.33 billion in bonds of individual companies from June 22 to June 30, its latest disclosure shows, with investments in the bonds of firms including Apple Inc., Walt Disney Co. and Ford Motor Co."
"JULY 9, 2020 ",Apple rolls out free online coding course for teachers,"Apple Inc said on Thursday it was rolling out a free online coding course for teachers, while beefing up its existing school coding programs with new material."
"JULY 9, 2020 ","Nokia launches data centre networking tools, developed with Apple","Finland's Nokia launched a set of tools on Thursday for data centre networking, developed in cooperation with Apple Inc, to help companies to manage the growth in traffic as 5G and machine learning technologies roll out."
"JULY 8, 2020 ","Apple expands independent repair shop program to Europe, Canada","Apple Inc said on Wednesday it is expanding a program to supply repair parts, tools and manuals for iPhones to independent repair shops in 32 countries in Europe as well as Canada."
"JULY 8, 2020 ",Ruling in EU Apple tax case due next Wednesday: Ireland,"The European Union's second highest court will next week rule in an appeal by Apple <AAPL.O> and Ireland against an EU ruling for the U.S. company to pay 13 billion euros ($16 billion) in back taxes, the Irish government said on Wednesday."
"JULY 7, 2020 ",Japan Display shares tumble 6% after media report on Apple's full shift to OLED,Shares of Apple supplier Japan Display Inc fell as much as 6% early on Wednesday after a media report that Apple will use OLED screens for all its forthcoming fifth-generation (5G) iPhones this year.
"JULY 6, 2020 ","Samsung Electronics flags second-quarter profit jump on solid chip demand, one-off gains from Apple","Samsung Electronics Co Ltd <005930.KS> flagged a 23% rise in second-quarter operating profit on Tuesday, beating analysts' estimates on solid chip sales to data centres catering for a work-from-home economy during the novel coronavirus pandemic."
"JULY 6, 2020 ",U.S. tech chiefs to testify before House antitrust panel on July 27: committee,"The chief executives of Amazon.com <AMZN.O>, Apple <AAPL.O>, Alphabet's Google <GOOGL.O> and Facebook <FB.O> will appear before a U.S. House of Representatives panel on July 27, the committee said in a statement on Monday."
"JULY 3, 2020 ",Google-backed groups criticize Apple's new warnings on user tracking,A group of European digital advertising associations on Friday criticized Apple Inc's <AAPL.O> plans to require apps to seek additional permission from users before tracking them across other apps and websites.
"JULY 1, 2020 ","Apple to re-close more stores in seven U.S. states, bringing total to 77","Apple Inc <AAPL.O> said it would re-close more than two dozen stores in seven states starting Thursday, including its home state of California, bringing total closures to 77 as coronavirus cases continue to rise."
"JULY 1, 2020 ",UK regulators take aim at Apple's search engine deal with Google,"The payments by Alphabet Inc's Google to Apple Inc to be the default search engine on Apple's Safari web browser create ""a significant barrier to entry and expansion"" for Google's rivals in the search engine market, the UK markets regulator said in a report released on Wednesday..."
"JULY 1, 2020 ","Apple to re-close more stores in seven states, bringing total to 77","Apple Inc said on Wednesday that it would re-close more than two dozen stores in seven states, including its home state of California, bringing the total closures to 77 as coronavirus cases continue to rise. (Reporting by Stephen Nellis in San Francisco Editing by Chris..."
"JUNE 30, 2020","Apple not dominant in any market, plenty of rivals, senior executive says","IPhone maker Apple, the target of EU antitrust investigations into key segments of its business, on Tuesday rejected accusations of market dominance, saying it competes with Google, Samsung and other rivals."
"JUNE 30, 2020",Apple supplier Japan Display posts first quarterly profit in over three years,"Apple <AAPL.O> supplier Japan Display Inc <6740.T> reported on Tuesday its first quarterly net profit in more than three years, boosted by the sale of its stake in organic light-emitting diode (OLED) panel affiliate JOLED."
"JUNE 30, 2020",REFILE-Apple supplier Japan Display posts first quarterly profit in more than 3 years,"Apple supplier Japan Display Inc on Tuesday reported its first quarterly net profit in more than three years, boosted by asset sales."
"JUNE 25, 2020","Apple to close 14 stores in Florida as virus cases rise, total re-closures reaches 32","Apple Inc <AAPL.O> said on Thursday that it would close 14 stores in Florida starting Friday due to a rise in COVID-19 cases, bringing its total re-closures to 32 stores in the United States."
"JUNE 25, 2020",Apple to re-close 14 stores in Florida due to virus uptick,Apple Inc said on Thursday that it would close 14 stores in Florida starting Friday due to a rise in COVID-19 cases.
"JUNE 24, 2020",Deals of the day-Mergers and acquisitions,"The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:"
"JUNE 24, 2020",Apple to shut seven retail stores in Houston again as COVID-19 cases jump,"Apple Inc <AAPL.O> is set to shut seven of its retail locations in Houston, Texas again due to an increase in the number of novel coronavirus cases in the United States, the company said Wednesday."
"JUNE 24, 2020",Apple to shut seven retail stores in Houston again as COVID-19 cases jump - Bloomberg News,"Apple Inc is set to shut seven of its retail locations in Houston, Texas again due to an increase in the number of novel coronavirus cases in the United States, Bloomberg News reported https://twitter.com/QuickTake/status/1275862082638970881 on Wednesday."
"JUNE 24, 2020","Apple acquires startup aimed at managing corporate Macs, iPads","Apple Inc <AAPL.O> has acquired Fleetsmith, a San Francisco-based startup company whose technology helps businesses manage Apple's Mac and iPad devices among their employee bases."
"JUNE 22, 2020","Apple modifies app review process, letting developers 'challenge' guidelines","Apple Inc on Monday said it would let software developers ""challenge"" the guidelines that govern its app review process and will end its practice of blocking routine bug fixes over minor violations."
"JUNE 22, 2020","Apple switches to its own chips for Mac computers as it adds features, privacy controls","Apple Inc <AAPL.O> on Monday said it will switch to its own chips for its Mac computers, saying the first machines will ship this year and ending a nearly 15-year reliance on Intel Corp to supply processors for its flagship laptops and desktop."
"JUNE 22, 2020","Apple to update developers, possibly signal split from Intel","Apple Inc on Monday will hold its annual conference for software developers, rolling out new features in its operating systems for iPhones and iPads and possibly signaling a departure from Intel Corp's almost 15-year run supplying Mac computer processors."
"JUNE 19, 2020",S&P 500 closes lower as COVID-19 resurgence casts a shadow on sentiment,The S&P 500 ended lower on Friday after an up-and-down session as investors weighed spiking cases of COVID-19 and Apple Inc's announcement of fresh store closures against anticipated stimulus and continued economic recovery.
"JUNE 18, 2020","U.S. shares retreat on renewed pandemic fears, safe-havens rise","Demand for safe havens rose and global equity markets turned south on Friday after Apple Inc said it would temporarily shut 11 U.S. stores as coronavirus cases continue to rise, rekindling fears of a deadly second wave of the pandemic."
"JUNE 19, 2020",US STOCKS-S&P 500 closes lower as COVID-19 resurgence casts a shadow on sentiment,The S&P 500 ended lower on Friday after an up-and-down session as investors weighed spiking cases of COVID-19 and Apple Inc's announcement of fresh store closures against anticipated stimulus and continued economic recovery.
"JUNE 19, 2020","GLOBAL MARKETS-Shares retreat on renewed pandemic fears, safe-havens rise",* Apple temporarily closes store due to rising coronavirus cases
"JUNE 19, 2020",Apple to shut some U.S. stores again due to rising COVID-19 cases,"Apple Inc said on Friday it is temporarily shutting some stores again in Florida, Arizona, South Carolina, and North Carolina in the United States, as novel coronavirus cases continue to rise in the country."
"JUNE 19, 2020",US STOCKS SNAPSHOT-Wall St falls sharply after report Apple to shut some stores again,"Wall Street's main indexes slipped into the red in volatile trading on Friday as a report said Apple Inc would shut some of its U.S. stores again in Arizona, Florida, North Carolina and South Carolina due to a spike in COVID-19 cases."
"JUNE 19, 2020",Apple to shut some U.S. stores again due to spike in COVID-19 cases - Bloomberg News,"Apple Inc will shut some stores again in Florida, Arizona, South Carolina, and North Carolina in the United States due to a spike in novel coronavirus cases, Bloomberg News reported on Friday."
"JUNE 19, 2020",BRIEF-Apple To Re-Close Some U.S. Stores Due To Spikes In COVID-19 Cases - Bloomberg News,"* APPLE TO RE-CLOSE SOME U.S. STORES IN FLORIDA, ARIZONA, SOUTH CAROLINA, NORTH CAROLINA DUE TO SPIKES IN COVID-19 CASES - BLOOMBERG NEWS Source text: https://bit.ly/2BjyTwm Further company coverage:"
"JUNE 16, 2020",Fed Circuit denies Apple bid to move patent case out of West Texas,"The U.S. Court of Appeals for the Federal Circuit has denied a bid by Apple Inc to transfer to its home court a patent case filed in the Western District of Texas, an increasingly popular forum for infringement cases."
"JUNE 16, 2020","Apple's App Store, Apple Pay targeted by EU antitrust regulators",Apple <AAPL.O> is being investigated by EU antitrust regulators over its App Store and mobile payment system Apple Pay as the bloc turns up the heat on gatekeepers of online platforms on which thousands of companies depend for business.
"JUNE 16, 2020",Breakingviews - Europe’s latest Apple bite is close to the core,"Big Tech investors have historically brushed off the threat from Margrethe Vestager, the European Commission’s antitrust tzar who wants to reduce U.S. behemoths’ digital dominance. The combined market value of Apple, Amazon.com, Facebook and Google owner Alphabet has risen..."
"JUNE 16, 2020",Apple says disappointed with EU antitrust investigations,Apple <AAPL.O> on Tuesday accused a few companies of filing groundless complaints and criticised EU antitrust regulators for listening to them and opening two investigations into its Apple Pay and App Store.
"JUNE 16, 2020","EU antitrust regulators to investigate Apple's App Store, Apple Pay","EU antitrust regulators opened on Tuesday two investigations into Apple regarding its App Store and Apple Pay, saying restrictions imposed by the iPhone maker may have breached EU competition rules."
"JUNE 15, 2020",Apple-backed study sheds light on physical sales through App Store,"Apple Inc on Monday released the results of a study that found its App Store spurred $458 billion in sales last year from categories such as retail of physical goods, ride-hailing and advertising from which the iPhone maker takes no commission."
"JUNE 12, 2020",Japan aims to launch coronavirus contact tracking app next week,"Japan aims to launch a smartphone app based on technology from Apple Inc <AAPL.O> and Alphabet Inc's <GOOGL.O> Google next week to help curb the spread of coronavirus by tracking close contact with those infected, the health ministry said on Friday."
"JUNE 11, 2020","Apple, YouTube unveil $100 million funds to support black causes amid U.S. protests","Apple Inc <AAPL.O> said on Thursday it will increase spending with black-owned suppliers as part of a $100 million racial equity and justice initiative, while Google-owned <GOOGL.O> YouTube said it will spend $100 million to fund black artists."
"JUNE 11, 2020",Intel chip executive Jim Keller departs company,"Jim Keller, a prominent executive who helped design chips at Apple Inc and Tesla Inc before joining Intel Corp two years ago, left the Santa Clara, California-based chipmaker effective June 11, Intel said in a news post."
"JUNE 11, 2020",Apple will increase spending with black-owned suppliers as part of $100 million racial justice effort,Apple Inc Chief Executive Tim Cook said on Thursday the iPhone maker will increase spending with black-owned partners in its supply chain and seek to increase minority representation among the firms it does business with.
"JUNE 4, 2020 ",Broadcom's revenue forecast disappoints on possible Apple iPhone delay,"Broadcom Inc <AVGO.O> on Thursday forecast current-quarter revenue with a midpoint slightly below analysts' estimates, in part caused by a delay at a ""large North American mobile phone"" customer that analysts believe is Apple Inc <AAPL.O>."
"JUNE 4, 2020 ",Ex-Apple engineers aim to help U.S. hardware makers troubleshoot from home,"For years, hardware engineers at American consumer electronics firms have hopped on a flight to China to iron out manufacturing kinks on assembly lines, but the COVID-19 pandemic and Sino-U.S. tensions have made travel between the countries difficult."
"JUNE 3, 2020 ",Judge in Apple shareholder class action hints lead counsel switch,"U.S. District Judge Yvonne Gonzalez Rogers of Oakland ruled Tuesday that shareholders can proceed with claims that Apple CEO Tim Cook misrepresented declining demand in China for iPhones on a phone call with analysts in November 2018, just days before Apple told its largest..."
"JUNE 3, 2020 ","Apple must face U.S. shareholder lawsuit over CEO's iPhone, China comments","A federal judge said Apple Inc must face part of a lawsuit claiming it fraudulently concealed falling demand for iPhones, especially in China, leading to tens of billions of dollars in shareholder losses."
"MAY 29, 2020 ","In rescue effort, Fed has broad stake in corporate America's fortunes","The U.S. central bank now has a stake in the fortunes of a broad swath of corporate America after buying about $1.3 billion of bond funds with debt issued by firms in all walks of the world's biggest economy, from Apple Inc <AAPL.O> to a clutch of companies in bankruptcy."
"MAY 27, 2020 ","Apple secures deal for Scorsese's next film starring DiCaprio, De Niro: media","Apple Inc has secured a deal for Hollywood veteran Martin Scorsese's next film, ""Killers of the Flower Moon,"" U.S. media reported on Wednesday, citing sources."
"MAY 26, 2020 ","Apple to reopen about 100 U.S. stores, most with curbside pickup","Apple Inc plans to reopen about 100 U.S. stores, mostly with curbside pickup but some with walk-in service, the company said on Tuesday."
